no;q2;sex;age;work;educ;tenure
408;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
409;Gone down;female;35-44;not working;medium (A-Level);mortgage
410;up by 2% but less than 3%;male;55-64;not working;low (GCSE);owned outright
411;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
412;up by 4% but less than 5%;male;55-64;full or part time;high (Degree);owned outright
413;up by 1% or less;female;55-64;not working;medium (A-Level);owned outright
414;not changed;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
415;not changed;male;35-44;not working;high (Degree);owned outright
416;Gone down;female;65+;not working;high (Degree);owned outright
417;Gone down;male;25-34;full or part time;high (Degree);owned outright
418;Gone down;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
419;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);council rent
420;up by 3% but less than 4%;male;45-54;not working;medium (A-Level);council rent
421;up by 4% but less than 5%;female;25-34;not working;low (GCSE);council rent
422;up by 1% but less than 2%;male;45-54;not working;medium (A-Level);council rent
423;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
424;up by 4% but less than 5%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
425;up by 5% or more;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
426;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
427;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
428;up by 5% or more;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
429;up by 5% or more;male;15-24;not working;high (Degree);other (inc private rent pre-2016)
430;up by 1% or less;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
431;up by 3% but less than 4%;female;35-44;not working;low (GCSE);council rent
432;up by 2% but less than 3%;female;65+;full or part time;medium (A-Level);owned outright
433;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
434;up by 1% or less;female;45-54;not working;medium (A-Level);owned outright
435;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
436;up by 4% but less than 5%;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
437;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
438;up by 3% but less than 4%;female;55-64;full or part time;low (GCSE);owned outright
439;not changed;female;45-54;full or part time;high (Degree);mortgage
440;up by 1% but less than 2%;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
441;up by 3% but less than 4%;female;15-24;not working;medium (A-Level);council rent
442;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
443;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
444;not changed;male;45-54;full or part time;low (GCSE);council rent
445;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
446;up by 5% or more;female;65+;not working;low (GCSE);council rent
447;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);mortgage
448;not changed;male;15-24;full or part time;medium (A-Level);mortgage
449;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
450;up by 3% but less than 4%;male;55-64;full or part time;low (GCSE);owned outright
451;up by 5% or more;female;25-34;full or part time;low (GCSE);mortgage
452;up by 4% but less than 5%;female;35-44;full or part time;high (Degree);mortgage
453;up by 1% or less;male;35-44;full or part time;medium (A-Level);mortgage
454;Gone down;male;15-24;full or part time;low (GCSE);mortgage
455;up by 1% or less;male;15-24;not working;low (GCSE);other (inc private rent pre-2016)
456;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
457;Gone down;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
458;up by 1% or less;male;35-44;full or part time;high (Degree);mortgage
459;up by 1% or less;male;45-54;full or part time;high (Degree);mortgage
460;Gone down;male;25-34;full or part time;high (Degree);mortgage
461;up by 1% or less;male;45-54;full or part time;medium (A-Level);mortgage
462;up by 5% or more;female;55-64;not working;medium (A-Level);mortgage
463;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
464;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);mortgage
465;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);owned outright
466;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);mortgage
467;not changed;female;25-34;not working;medium (A-Level);council rent
468;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
469;not changed;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
470;not changed;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
471;up by 3% but less than 4%;male;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
472;up by 1% or less;male;55-64;full or part time;medium (A-Level);owned outright
473;up by 2% but less than 3%;male;45-54;not working;medium (A-Level);owned outright
474;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
475;up by 5% or more;male;45-54;full or part time;medium (A-Level);owned outright
476;up by 3% but less than 4%;male;45-54;not working;medium (A-Level);council rent
477;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
478;Gone down;female;45-54;not working;medium (A-Level);owned outright
479;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
480;up by 3% but less than 4%;female;45-54;not working;medium (A-Level);owned outright
481;Gone down;male;45-54;full or part time;high (Degree);mortgage
482;Gone down;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
483;up by 5% or more;male;65+;not working;low (GCSE);owned outright
484;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
485;up by 1% but less than 2%;male;65+;not working;low (GCSE);owned outright
486;not changed;female;55-64;full or part time;medium (A-Level);mortgage
487;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);mortgage
488;not changed;female;35-44;full or part time;medium (A-Level);mortgage
489;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);owned outright
490;Gone down;male;65+;not working;medium (A-Level);owned outright
491;up by 5% or more;female;45-54;not working;high (Degree);owned outright
492;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
493;up by 2% but less than 3%;male;25-34;full or part time;low (GCSE);council rent
494;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
495;up by 3% but less than 4%;female;55-64;full or part time;low (GCSE);mortgage
496;not changed;male;35-44;full or part time;medium (A-Level);council rent
497;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);council rent
498;Gone down;female;25-34;not working;medium (A-Level);council rent
499;not changed;male;65+;not working;medium (A-Level);mortgage
500;up by 1% or less;female;45-54;not working;low (GCSE);owned outright
501;up by 2% but less than 3%;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
502;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
503;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
504;up by 5% or more;female;65+;not working;low (GCSE);owned outright
505;not changed;female;65+;not working;high (Degree);owned outright
506;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);mortgage
507;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
508;Gone down;male;55-64;full or part time;medium (A-Level);mortgage
509;up by 5% or more;male;35-44;full or part time;high (Degree);mortgage
510;not changed;female;35-44;full or part time;high (Degree);mortgage
511;Gone down;female;65+;not working;low (GCSE);owned outright
512;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);mortgage
513;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
514;Gone down;male;25-34;full or part time;high (Degree);mortgage
515;Gone down;male;65+;full or part time;high (Degree);owned outright
516;not changed;male;25-34;not working;high (Degree);other (inc private rent pre-2016)
517;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
518;up by 2% but less than 3%;female;55-64;full or part time;high (Degree);mortgage
519;up by 5% or more;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
520;Gone down;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
521;Gone down;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
522;up by 1% but less than 2%;female;65+;not working;medium (A-Level);council rent
523;not changed;female;15-24;not working;medium (A-Level);council rent
524;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);council rent
525;up by 5% or more;male;65+;not working;low (GCSE);owned outright
526;up by 5% or more;female;15-24;not working;medium (A-Level);council rent
527;up by 1% but less than 2%;male;45-54;full or part time;high (Degree);mortgage
528;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);mortgage
529;up by 4% but less than 5%;female;55-64;not working;low (GCSE);owned outright
530;Gone down;female;65+;not working;medium (A-Level);owned outright
531;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
532;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
533;up by 5% or more;male;65+;not working;low (GCSE);owned outright
534;up by 4% but less than 5%;male;55-64;full or part time;low (GCSE);mortgage
535;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
536;Gone down;female;65+;not working;high (Degree);owned outright
537;up by 2% but less than 3%;female;55-64;full or part time;medium (A-Level);owned outright
538;not changed;female;35-44;full or part time;medium (A-Level);mortgage
539;up by 1% or less;female;25-34;full or part time;medium (A-Level);mortgage
540;not changed;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
541;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);owned outright
542;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
543;up by 5% or more;male;45-54;full or part time;medium (A-Level);owned outright
544;up by 1% or less;male;35-44;full or part time;medium (A-Level);mortgage
545;not changed;male;45-54;full or part time;medium (A-Level);mortgage
546;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
547;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
548;up by 1% but less than 2%;female;45-54;not working;medium (A-Level);mortgage
549;up by 2% but less than 3%;female;55-64;full or part time;medium (A-Level);mortgage
550;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
